Transaction,Items
536,"['Beer', 'Milk', 'Diapers', 'Bread']"
537,"['Diapers', 'Bread']"
538,"['Diapers', 'Coke', 'Butter', 'Bread', 'Juice']"
539,"['Milk', 'Juice', 'Coke']"
540,"['Eggs', 'Coke', 'Beer', 'Milk', 'Butter']"
541,"['Diapers', 'Beer', 'Milk']"
542,"['Diapers', 'Milk', 'Juice', 'Bread', 'Butter']"
543,"['Juice', 'Beer', 'Diapers', 'Milk']"
544,"['Butter', 'Diapers', 'Eggs']"
545,"['Bread', 'Eggs', 'Milk', 'Coke']"
546,"['Beer', 'Coke', 'Milk', 'Eggs', 'Bread']"
547,"['Eggs', 'Juice']"
548,"['Eggs', 'Butter', 'Juice', 'Milk', 'Bread']"
549,"['Butter', 'Bread', 'Diapers', 'Eggs']"
550,"['Coke', 'Diapers', 'Juice', 'Bread']"
551,"['Coke', 'Beer', 'Bread', 'Eggs']"
552,"['Bread', 'Milk']"
553,"['Milk', 'Butter']"
554,"['Beer', 'Diapers', 'Butter']"
555,"['Milk', 'Beer', 'Diapers']"
556,"['Eggs', 'Juice', 'Beer']"
557,"['Bread', 'Milk', 'Juice', 'Beer']"
558,"['Beer', 'Bread']"
559,"['Butter', 'Eggs', 'Diapers', 'Juice', 'Beer']"
560,"['Juice', 'Coke']"
561,"['Diapers', 'Juice', 'Bread', 'Butter', 'Eggs']"
562,"['Coke', 'Eggs', 'Diapers', 'Butter']"
563,"['Diapers', 'Butter']"
564,"['Diapers', 'Bread']"
565,"['Bread', 'Butter', 'Beer']"
566,"['Beer', 'Coke']"
567,"['Diapers', 'Coke', 'Milk', 'Bread']"
568,"['Coke', 'Eggs', 'Bread', 'Diapers']"
569,"['Beer', 'Coke', 'Milk', 'Butter', 'Diapers']"
570,"['Butter', 'Bread', 'Eggs', 'Beer', 'Milk']"
571,"['Bread', 'Butter', 'Milk']"
572,"['Milk', 'Juice', 'Diapers']"
573,"['Milk', 'Bread', 'Beer', 'Juice', 'Diapers']"
574,"['Milk', 'Beer', 'Diapers', 'Bread']"
575,"['Eggs', 'Beer']"
576,"['Butter', 'Beer']"
577,"['Coke', 'Eggs', 'Beer', 'Butter']"
578,"['Coke', 'Bread', 'Eggs', 'Milk', 'Juice']"
579,"['Diapers', 'Juice', 'Coke']"
580,"['Butter', 'Milk', 'Coke']"
581,"['Bread', 'Coke']"
582,"['Beer', 'Milk', 'Butter']"
583,"['Juice', 'Beer', 'Butter', 'Diapers', 'Eggs']"
584,"['Beer', 'Juice', 'Diapers', 'Butter']"
585,"['Butter', 'Bread', 'Juice', 'Diapers']"
586,"['Juice', 'Eggs', 'Milk']"
587,"['Butter', 'Beer', 'Milk', 'Bread']"
588,"['Eggs', 'Coke', 'Bread', 'Butter', 'Beer']"
589,"['Milk', 'Coke']"
590,"['Bread', 'Coke', 'Beer', 'Diapers', 'Butter']"
591,"['Diapers', 'Milk', 'Butter', 'Coke']"
592,"['Bread', 'Milk', 'Coke']"
593,"['Eggs', 'Diapers', 'Coke', 'Milk']"
594,"['Bread', 'Eggs', 'Diapers', 'Butter']"
595,"['Bread', 'Coke']"
596,"['Beer', 'Diapers', 'Butter']"
597,"['Coke', 'Beer', 'Milk', 'Diapers', 'Eggs']"
598,"['Juice', 'Coke']"
599,"['Diapers', 'Eggs', 'Milk', 'Juice']"
600,"['Beer', 'Diapers', 'Milk', 'Eggs', 'Bread']"
601,"['Coke', 'Milk', 'Eggs', 'Bread']"
602,"['Bread', 'Coke', 'Beer']"
603,"['Beer', 'Milk', 'Juice']"
604,"['Bread', 'Juice']"
605,"['Beer', 'Juice', 'Coke']"
606,"['Beer', 'Juice']"
607,"['Beer', 'Butter', 'Milk']"
608,"['Juice', 'Milk', 'Beer', 'Bread']"
609,"['Butter', 'Diapers', 'Coke', 'Milk', 'Beer']"
610,"['Milk', 'Beer']"
611,"['Coke', 'Eggs', 'Butter', 'Diapers', 'Milk']"
612,"['Bread', 'Milk', 'Diapers']"
613,"['Diapers', 'Bread', 'Eggs', 'Beer']"
614,"['Eggs', 'Butter']"
615,"['Eggs', 'Butter', 'Bread', 'Juice', 'Milk']"
616,"['Milk', 'Diapers']"
617,"['Milk', 'Coke', 'Eggs']"
618,"['Juice', 'Eggs', 'Bread', 'Milk', 'Butter']"
619,"['Eggs', 'Milk', 'Coke', 'Bread', 'Beer']"
620,"['Butter', 'Bread', 'Juice', 'Coke', 'Eggs']"
621,"['Beer', 'Milk', 'Juice']"
622,"['Milk', 'Butter', 'Coke', 'Diapers', 'Bread']"
623,"['Bread', 'Coke', 'Butter', 'Beer']"
624,"['Butter', 'Coke', 'Eggs', 'Diapers']"
625,"['Eggs', 'Juice', 'Coke']"
626,"['Butter', 'Bread', 'Eggs']"
627,"['Eggs', 'Coke', 'Diapers', 'Milk', 'Juice']"
628,"['Bread', 'Beer', 'Milk', 'Coke', 'Juice']"
629,"['Eggs', 'Beer', 'Juice', 'Milk', 'Butter']"
630,"['Diapers', 'Eggs']"
631,"['Milk', 'Coke']"
632,"['Coke', 'Juice']"
633,"['Milk', 'Juice', 'Coke', 'Diapers', 'Bread']"
634,"['Beer', 'Butter']"
635,"['Juice', 'Beer', 'Eggs', 'Milk']"
636,"['Bread', 'Juice']"
637,"['Milk', 'Juice', 'Coke', 'Butter']"
638,"['Coke', 'Butter', 'Diapers', 'Milk', 'Eggs']"
639,"['Juice', 'Butter', 'Bread']"
640,"['Diapers', 'Milk', 'Coke']"
641,"['Butter', 'Bread']"
642,"['Diapers', 'Beer', 'Butter', 'Coke']"
643,"['Coke', 'Diapers', 'Butter', 'Milk', 'Juice']"
644,"['Bread', 'Eggs', 'Juice']"
645,"['Eggs', 'Butter', 'Milk', 'Juice', 'Coke']"
646,"['Coke', 'Bread', 'Beer', 'Butter', 'Diapers']"
647,"['Butter', 'Eggs', 'Bread', 'Beer', 'Juice']"
648,"['Beer', 'Bread']"
649,"['Bread', 'Diapers', 'Milk']"
650,"['Milk', 'Juice', 'Butter', 'Diapers', 'Eggs']"
651,"['Diapers', 'Coke', 'Butter']"
652,"['Bread', 'Diapers', 'Coke', 'Beer', 'Eggs']"
653,"['Beer', 'Juice', 'Milk', 'Eggs']"
654,"['Coke', 'Milk', 'Butter', 'Beer']"
655,"['Coke', 'Beer', 'Butter', 'Milk']"
656,"['Coke', 'Eggs', 'Butter']"
657,"['Milk', 'Eggs', 'Beer']"
658,"['Eggs', 'Butter']"
659,"['Eggs', 'Bread', 'Beer']"
660,"['Juice', 'Beer']"
661,"['Juice', 'Beer', 'Eggs']"
662,"['Beer', 'Coke']"
663,"['Milk', 'Juice']"
664,"['Butter', 'Eggs', 'Beer', 'Bread', 'Milk']"
665,"['Juice', 'Coke', 'Eggs']"
666,"['Butter', 'Coke', 'Bread']"
667,"['Beer', 'Milk', 'Coke', 'Butter']"
668,"['Diapers', 'Butter']"
669,"['Beer', 'Eggs', 'Milk', 'Bread', 'Butter']"
670,"['Juice', 'Diapers', 'Milk', 'Beer']"
671,"['Eggs', 'Bread']"
672,"['Eggs', 'Diapers']"
673,"['Beer', 'Eggs']"
674,"['Eggs', 'Beer', 'Butter', 'Milk']"
675,"['Butter', 'Milk', 'Eggs', 'Bread']"
676,"['Milk', 'Eggs', 'Diapers', 'Butter']"
677,"['Bread', 'Juice']"
678,"['Beer', 'Diapers']"
679,"['Diapers', 'Coke', 'Bread']"
680,"['Coke', 'Diapers']"
681,"['Bread', 'Diapers', 'Milk']"
682,"['Coke', 'Milk', 'Eggs', 'Bread']"
683,"['Juice', 'Butter', 'Diapers', 'Eggs']"
684,"['Butter', 'Eggs', 'Beer', 'Milk']"
685,"['Bread', 'Milk', 'Eggs']"
686,"['Coke', 'Bread', 'Beer', 'Diapers', 'Eggs']"
687,"['Bread', 'Coke', 'Butter']"
688,"['Juice', 'Coke', 'Eggs']"
689,"['Milk', 'Bread', 'Butter']"
690,"['Butter', 'Coke', 'Milk', 'Bread', 'Beer']"
691,"['Diapers', 'Bread', 'Beer', 'Coke']"
692,"['Eggs', 'Beer', 'Juice', 'Milk', 'Bread']"
693,"['Diapers', 'Butter', 'Milk', 'Beer']"
694,"['Juice', 'Beer']"
695,"['Diapers', 'Butter']"
696,"['Beer', 'Butter', 'Milk']"
697,"['Juice', 'Milk', 'Beer']"
698,"['Bread', 'Eggs']"
699,"['Beer', 'Coke', 'Bread', 'Diapers', 'Milk']"
700,"['Diapers', 'Coke', 'Milk', 'Eggs']"
701,"['Beer', 'Diapers', 'Butter', 'Juice', 'Bread']"
702,"['Juice', 'Diapers']"
703,"['Butter', 'Beer', 'Bread', 'Diapers', 'Milk']"
704,"['Butter', 'Eggs', 'Diapers', 'Beer', 'Bread']"
705,"['Beer', 'Diapers', 'Butter']"
706,"['Coke', 'Diapers', 'Milk', 'Beer', 'Eggs']"
707,"['Butter', 'Juice', 'Eggs']"
708,"['Diapers', 'Beer', 'Bread']"
709,"['Coke', 'Beer']"
710,"['Beer', 'Coke', 'Butter', 'Milk']"
711,"['Milk', 'Juice', 'Diapers']"
712,"['Butter', 'Bread', 'Milk', 'Beer']"
713,"['Butter', 'Bread', 'Eggs', 'Diapers']"
714,"['Eggs', 'Juice']"
715,"['Coke', 'Butter', 'Milk', 'Diapers']"
716,"['Beer', 'Bread']"
717,"['Eggs', 'Bread']"
718,"['Juice', 'Butter', 'Beer', 'Milk']"
719,"['Milk', 'Diapers', 'Eggs']"
720,"['Bread', 'Beer']"
721,"['Bread', 'Milk', 'Beer', 'Juice']"
722,"['Coke', 'Beer', 'Butter', 'Juice', 'Eggs']"
723,"['Butter', 'Juice', 'Coke', 'Milk']"
724,"['Beer', 'Juice', 'Eggs']"
725,"['Bread', 'Coke', 'Diapers', 'Juice', 'Eggs']"
726,"['Milk', 'Eggs']"
727,"['Coke', 'Bread', 'Diapers', 'Butter', 'Beer']"
728,"['Eggs', 'Milk']"
729,"['Bread', 'Juice', 'Beer']"
730,"['Milk', 'Juice', 'Butter', 'Diapers', 'Eggs']"
731,"['Diapers', 'Coke', 'Beer', 'Milk']"
732,"['Diapers', 'Coke', 'Beer', 'Eggs']"
733,"['Butter', 'Bread', 'Beer']"
734,"['Butter', 'Eggs', 'Diapers', 'Juice', 'Coke']"
735,"['Butter', 'Coke']"
736,"['Butter', 'Diapers', 'Beer', 'Eggs']"
737,"['Eggs', 'Beer', 'Butter']"
738,"['Coke', 'Juice', 'Bread']"
739,"['Diapers', 'Beer', 'Butter']"
740,"['Milk', 'Butter']"
741,"['Milk', 'Butter']"
742,"['Butter', 'Bread', 'Milk']"
743,"['Eggs', 'Milk']"
744,"['Eggs', 'Bread', 'Milk', 'Diapers', 'Juice']"
745,"['Bread', 'Butter', 'Milk', 'Beer']"
746,"['Butter', 'Bread', 'Coke', 'Milk']"
747,"['Milk', 'Coke', 'Juice', 'Butter']"
748,"['Bread', 'Diapers', 'Coke', 'Beer', 'Milk']"
749,"['Bread', 'Milk']"
750,"['Butter', 'Juice']"
751,"['Eggs', 'Bread', 'Butter', 'Beer']"
752,"['Diapers', 'Beer', 'Bread', 'Milk']"
753,"['Coke', 'Bread', 'Beer', 'Milk', 'Juice']"
754,"['Diapers', 'Butter']"
755,"['Bread', 'Eggs']"
756,"['Bread', 'Butter', 'Milk', 'Eggs']"
757,"['Bread', 'Diapers', 'Beer', 'Milk', 'Coke']"
758,"['Bread', 'Coke']"
759,"['Milk', 'Juice']"
760,"['Eggs', 'Coke', 'Milk', 'Diapers', 'Beer']"
761,"['Bread', 'Milk', 'Beer', 'Eggs', 'Diapers']"
762,"['Milk', 'Diapers', 'Eggs']"
763,"['Juice', 'Beer', 'Milk', 'Bread']"
764,"['Juice', 'Beer', 'Eggs', 'Bread', 'Diapers']"
765,"['Eggs', 'Juice', 'Bread', 'Milk']"
766,"['Eggs', 'Juice', 'Bread']"
767,"['Diapers', 'Butter', 'Bread', 'Eggs', 'Coke']"
768,"['Bread', 'Beer']"
769,"['Juice', 'Eggs', 'Beer']"
770,"['Coke', 'Juice', 'Beer']"
771,"['Coke', 'Beer', 'Juice', 'Bread']"
772,"['Coke', 'Bread', 'Butter', 'Milk', 'Beer']"
773,"['Beer', 'Juice', 'Diapers', 'Coke', 'Bread']"
774,"['Beer', 'Coke', 'Butter', 'Juice', 'Milk']"
775,"['Diapers', 'Butter']"
776,"['Coke', 'Juice', 'Milk', 'Diapers', 'Butter']"
777,"['Juice', 'Eggs', 'Butter', 'Milk', 'Coke']"
778,"['Beer', 'Butter', 'Juice']"
779,"['Juice', 'Milk', 'Coke', 'Eggs', 'Bread']"
780,"['Butter', 'Beer', 'Coke', 'Diapers']"
781,"['Bread', 'Eggs', 'Beer', 'Milk']"
782,"['Juice', 'Butter', 'Beer', 'Coke', 'Diapers']"
783,"['Butter', 'Milk', 'Beer', 'Juice']"
784,"['Eggs', 'Diapers', 'Butter', 'Juice']"
785,"['Beer', 'Coke']"
786,"['Butter', 'Diapers', 'Juice']"
787,"['Coke', 'Diapers', 'Beer', 'Bread', 'Milk']"
788,"['Coke', 'Diapers', 'Bread', 'Eggs']"
789,"['Juice', 'Milk', 'Coke', 'Butter']"
790,"['Coke', 'Juice', 'Butter']"
791,"['Eggs', 'Beer', 'Milk']"
792,"['Milk', 'Beer']"
793,"['Juice', 'Bread']"
794,"['Eggs', 'Coke', 'Bread', 'Beer']"
795,"['Diapers', 'Eggs', 'Butter']"
796,"['Juice', 'Milk', 'Diapers', 'Eggs']"
797,"['Coke', 'Milk', 'Bread']"
798,"['Eggs', 'Milk']"
799,"['Eggs', 'Bread', 'Milk', 'Diapers']"
800,"['Diapers', 'Butter', 'Coke']"
801,"['Eggs', 'Coke']"
802,"['Butter', 'Eggs', 'Beer', 'Coke', 'Diapers']"
803,"['Bread', 'Beer', 'Butter']"
804,"['Eggs', 'Juice', 'Diapers']"
805,"['Juice', 'Milk', 'Beer', 'Coke']"
806,"['Coke', 'Bread', 'Eggs', 'Beer', 'Diapers']"
807,"['Juice', 'Eggs', 'Beer']"
808,"['Bread', 'Butter', 'Diapers', 'Milk', 'Beer']"
809,"['Diapers', 'Milk', 'Butter', 'Beer', 'Juice']"
810,"['Eggs', 'Milk', 'Butter']"
811,"['Milk', 'Eggs', 'Diapers', 'Bread']"
812,"['Bread', 'Juice', 'Coke']"
813,"['Milk', 'Beer', 'Juice']"
814,"['Eggs', 'Bread', 'Beer', 'Juice', 'Coke']"
815,"['Diapers', 'Coke']"
816,"['Milk', 'Butter', 'Coke', 'Bread']"
817,"['Eggs', 'Milk', 'Coke', 'Bread', 'Beer']"
818,"['Butter', 'Coke', 'Diapers']"
819,"['Diapers', 'Milk', 'Bread', 'Beer']"
820,"['Juice', 'Diapers', 'Butter', 'Eggs']"
821,"['Milk', 'Eggs', 'Coke', 'Juice']"
822,"['Juice', 'Beer', 'Coke', 'Milk']"
823,"['Eggs', 'Butter']"
824,"['Butter', 'Bread', 'Coke', 'Milk', 'Diapers']"
825,"['Beer', 'Coke']"
826,"['Juice', 'Milk', 'Coke']"
827,"['Eggs', 'Beer']"
828,"['Bread', 'Eggs']"
829,"['Coke', 'Juice']"
830,"['Beer', 'Bread', 'Diapers', 'Eggs']"
831,"['Eggs', 'Butter', 'Juice', 'Beer']"
832,"['Juice', 'Coke']"
833,"['Beer', 'Butter', 'Coke', 'Diapers']"
834,"['Bread', 'Coke', 'Eggs', 'Butter', 'Juice']"
835,"['Juice', 'Beer']"
836,"['Butter', 'Beer']"
837,"['Eggs', 'Coke', 'Butter']"
838,"['Bread', 'Coke', 'Diapers', 'Butter']"
839,"['Butter', 'Juice']"
840,"['Eggs', 'Coke', 'Butter', 'Beer', 'Bread']"
841,"['Butter', 'Milk', 'Diapers', 'Bread', 'Eggs']"
842,"['Beer', 'Eggs']"
843,"['Diapers', 'Coke']"
844,"['Milk', 'Diapers', 'Beer']"
845,"['Milk', 'Bread', 'Juice', 'Diapers', 'Coke']"
846,"['Bread', 'Beer', 'Butter', 'Juice']"
847,"['Beer', 'Coke', 'Bread', 'Juice']"
848,"['Juice', 'Beer']"
849,"['Eggs', 'Juice', 'Beer', 'Coke', 'Milk']"
850,"['Beer', 'Juice', 'Eggs', 'Milk']"
851,"['Diapers', 'Bread', 'Juice']"
852,"['Beer', 'Milk', 'Eggs', 'Diapers', 'Coke']"
853,"['Coke', 'Juice', 'Milk']"
854,"['Beer', 'Milk', 'Bread', 'Diapers', 'Juice']"
855,"['Eggs', 'Diapers', 'Bread', 'Butter']"
856,"['Bread', 'Milk', 'Coke', 'Diapers']"
857,"['Beer', 'Bread']"
858,"['Coke', 'Eggs']"
859,"['Coke', 'Milk']"
860,"['Bread', 'Milk', 'Diapers', 'Butter', 'Juice']"
861,"['Milk', 'Butter', 'Coke', 'Beer', 'Eggs']"
862,"['Milk', 'Beer', 'Juice', 'Diapers']"
863,"['Juice', 'Diapers', 'Coke', 'Bread']"
864,"['Coke', 'Butter', 'Bread', 'Juice', 'Beer']"
865,"['Coke', 'Butter', 'Juice', 'Bread']"
866,"['Eggs', 'Butter', 'Diapers', 'Bread']"
867,"['Butter', 'Diapers', 'Juice', 'Coke']"
868,"['Butter', 'Coke', 'Bread']"
869,"['Diapers', 'Eggs']"
870,"['Milk', 'Eggs', 'Juice']"
871,"['Bread', 'Diapers', 'Butter']"
872,"['Butter', 'Diapers']"
873,"['Juice', 'Beer', 'Milk', 'Butter']"
874,"['Juice', 'Diapers', 'Beer', 'Butter']"
875,"['Eggs', 'Milk', 'Coke', 'Butter', 'Bread']"
876,"['Beer', 'Coke', 'Eggs', 'Butter', 'Juice']"
877,"['Beer', 'Butter', 'Milk', 'Diapers', 'Eggs']"
878,"['Juice', 'Diapers', 'Butter', 'Coke', 'Milk']"
879,"['Coke', 'Beer']"
880,"['Milk', 'Juice', 'Beer']"
881,"['Butter', 'Beer', 'Bread']"
882,"['Juice', 'Coke']"
883,"['Milk', 'Bread', 'Coke']"
884,"['Bread', 'Beer', 'Butter', 'Diapers', 'Coke']"
885,"['Juice', 'Beer', 'Bread', 'Butter']"
886,"['Juice', 'Bread']"
887,"['Diapers', 'Juice', 'Beer']"
888,"['Bread', 'Juice', 'Beer']"
889,"['Eggs', 'Beer']"
890,"['Bread', 'Diapers']"
891,"['Milk', 'Eggs']"
892,"['Eggs', 'Beer', 'Coke', 'Juice', 'Butter']"
893,"['Milk', 'Eggs', 'Bread', 'Butter']"
894,"['Milk', 'Beer']"
895,"['Butter', 'Bread']"
896,"['Juice', 'Milk', 'Diapers', 'Coke']"
897,"['Milk', 'Eggs']"
898,"['Juice', 'Coke', 'Eggs', 'Butter']"
899,"['Juice', 'Eggs']"
900,"['Coke', 'Milk', 'Diapers', 'Butter']"
901,"['Coke', 'Diapers', 'Butter', 'Juice']"
902,"['Eggs', 'Diapers', 'Milk', 'Beer']"
903,"['Milk', 'Coke']"
904,"['Butter', 'Bread', 'Coke']"
905,"['Beer', 'Eggs', 'Milk', 'Diapers']"
906,"['Coke', 'Beer', 'Bread', 'Juice']"
907,"['Beer', 'Eggs', 'Milk']"
908,"['Juice', 'Beer']"
909,"['Diapers', 'Coke']"
910,"['Butter', 'Coke']"
911,"['Butter', 'Bread', 'Eggs']"
912,"['Juice', 'Diapers', 'Coke', 'Milk', 'Beer']"
913,"['Eggs', 'Butter']"
914,"['Butter', 'Diapers', 'Eggs', 'Coke', 'Milk']"
915,"['Eggs', 'Milk']"
916,"['Bread', 'Coke', 'Eggs', 'Juice', 'Diapers']"
917,"['Eggs', 'Butter', 'Juice']"
918,"['Eggs', 'Diapers']"
919,"['Bread', 'Beer']"
920,"['Beer', 'Eggs', 'Juice', 'Diapers']"
921,"['Butter', 'Milk', 'Coke', 'Bread']"
922,"['Beer', 'Butter']"
923,"['Juice', 'Beer', 'Coke', 'Bread', 'Butter']"
924,"['Coke', 'Eggs', 'Butter', 'Diapers']"
925,"['Milk', 'Coke', 'Juice', 'Eggs', 'Butter']"
926,"['Butter', 'Eggs', 'Beer']"
927,"['Juice', 'Butter', 'Beer', 'Milk', 'Coke']"
928,"['Eggs', 'Butter']"
929,"['Milk', 'Coke', 'Bread', 'Beer', 'Diapers']"
930,"['Beer', 'Coke', 'Juice', 'Milk', 'Diapers']"
931,"['Milk', 'Beer']"
932,"['Bread', 'Juice', 'Milk']"
933,"['Milk', 'Bread']"
934,"['Juice', 'Diapers', 'Butter', 'Milk']"
935,"['Juice', 'Butter']"
936,"['Diapers', 'Milk', 'Coke', 'Juice']"
937,"['Milk', 'Beer', 'Juice']"
938,"['Diapers', 'Beer']"
939,"['Eggs', 'Butter', 'Beer', 'Juice']"
940,"['Juice', 'Beer']"
941,"['Eggs', 'Juice', 'Diapers', 'Butter', 'Beer']"
942,"['Butter', 'Eggs']"
943,"['Butter', 'Eggs', 'Milk', 'Coke', 'Juice']"
944,"['Butter', 'Diapers', 'Juice', 'Milk', 'Bread']"
945,"['Coke', 'Butter', 'Juice', 'Beer', 'Milk']"
946,"['Milk', 'Coke', 'Butter']"
947,"['Coke', 'Diapers', 'Juice']"
948,"['Butter', 'Diapers', 'Bread', 'Milk', 'Coke']"
949,"['Coke', 'Beer', 'Eggs', 'Juice', 'Diapers']"
950,"['Coke', 'Butter', 'Beer']"
951,"['Juice', 'Beer']"
952,"['Butter', 'Eggs']"
953,"['Eggs', 'Milk']"
954,"['Butter', 'Diapers', 'Milk']"
955,"['Coke', 'Eggs', 'Juice', 'Beer']"
956,"['Eggs', 'Juice']"
957,"['Beer', 'Diapers']"
958,"['Butter', 'Coke', 'Diapers', 'Eggs', 'Juice']"
959,"['Milk', 'Diapers', 'Bread']"
960,"['Eggs', 'Milk', 'Beer', 'Butter']"
961,"['Milk', 'Coke']"
962,"['Bread', 'Beer', 'Butter', 'Milk', 'Juice']"
963,"['Eggs', 'Coke']"
964,"['Eggs', 'Milk', 'Butter']"
965,"['Eggs', 'Bread', 'Butter', 'Coke']"
966,"['Bread', 'Butter', 'Milk']"
967,"['Eggs', 'Milk']"
968,"['Butter', 'Juice', 'Eggs', 'Milk']"
969,"['Butter', 'Bread', 'Beer', 'Eggs', 'Coke']"
970,"['Milk', 'Juice', 'Coke', 'Bread', 'Beer']"
971,"['Milk', 'Diapers']"
972,"['Butter', 'Bread', 'Coke']"
973,"['Diapers', 'Juice', 'Coke', 'Eggs']"
974,"['Milk', 'Beer', 'Juice', 'Butter']"
975,"['Beer', 'Butter', 'Coke', 'Eggs', 'Bread']"
976,"['Diapers', 'Milk']"
977,"['Juice', 'Butter']"
978,"['Butter', 'Beer']"
979,"['Eggs', 'Beer', 'Butter']"
980,"['Diapers', 'Juice', 'Beer', 'Milk', 'Coke']"
981,"['Bread', 'Coke', 'Beer', 'Juice']"
982,"['Diapers', 'Juice', 'Bread']"
983,"['Eggs', 'Coke', 'Beer', 'Butter', 'Juice']"
984,"['Beer', 'Milk', 'Bread', 'Butter']"
985,"['Eggs', 'Beer', 'Butter']"
986,"['Eggs', 'Milk', 'Beer', 'Butter', 'Bread']"
987,"['Bread', 'Eggs', 'Butter', 'Milk', 'Beer']"
988,"['Milk', 'Eggs', 'Diapers']"
989,"['Bread', 'Eggs', 'Beer', 'Milk', 'Butter']"
990,"['Coke', 'Eggs', 'Milk', 'Juice', 'Bread']"
991,"['Diapers', 'Coke', 'Eggs']"
992,"['Juice', 'Milk', 'Coke']"
993,"['Coke', 'Butter', 'Eggs', 'Bread', 'Beer']"
994,"['Coke', 'Diapers']"
995,"['Beer', 'Milk']"
996,"['Diapers', 'Bread']"
997,"['Juice', 'Coke', 'Butter']"
998,"['Milk', 'Butter', 'Bread', 'Juice']"
999,"['Juice', 'Milk']"
1000,"['Diapers', 'Eggs']"
1001,"['Diapers', 'Coke', 'Eggs', 'Bread']"
1002,"['Coke', 'Eggs', 'Butter', 'Milk', 'Bread']"
1003,"['Bread', 'Diapers', 'Coke', 'Milk']"
1004,"['Milk', 'Coke']"
1005,"['Coke', 'Eggs', 'Beer', 'Milk']"
1006,"['Juice', 'Beer', 'Milk', 'Butter']"
1007,"['Juice', 'Diapers', 'Milk', 'Coke']"
1008,"['Eggs', 'Butter', 'Bread', 'Coke', 'Milk']"
1009,"['Coke', 'Eggs', 'Bread', 'Butter', 'Diapers']"
1010,"['Eggs', 'Beer', 'Coke']"
1011,"['Bread', 'Diapers', 'Beer', 'Coke', 'Eggs']"
1012,"['Coke', 'Milk', 'Eggs', 'Bread', 'Butter']"
1013,"['Bread', 'Butter']"
1014,"['Milk', 'Eggs', 'Beer']"
1015,"['Beer', 'Milk', 'Eggs']"
1016,"['Milk', 'Coke']"
1017,"['Diapers', 'Beer', 'Bread']"
1018,"['Milk', 'Coke', 'Diapers', 'Eggs']"
1019,"['Coke', 'Beer', 'Butter', 'Bread']"
1020,"['Milk', 'Eggs', 'Butter']"
1021,"['Diapers', 'Beer', 'Bread', 'Butter']"
1022,"['Milk', 'Coke', 'Butter', 'Beer', 'Diapers']"
1023,"['Butter', 'Beer', 'Milk']"
1024,"['Bread', 'Coke', 'Beer', 'Juice']"
1025,"['Milk', 'Diapers', 'Butter', 'Coke']"
1026,"['Juice', 'Butter', 'Beer']"
1027,"['Beer', 'Milk', 'Diapers', 'Juice']"
1028,"['Butter', 'Coke', 'Eggs', 'Diapers', 'Bread']"
1029,"['Beer', 'Coke', 'Bread', 'Juice', 'Butter']"
1030,"['Bread', 'Milk', 'Coke', 'Eggs']"
1031,"['Juice', 'Bread', 'Coke', 'Eggs']"
1032,"['Juice', 'Milk']"
1033,"['Eggs', 'Diapers', 'Bread', 'Beer', 'Coke']"
1034,"['Milk', 'Coke']"
1035,"['Milk', 'Beer', 'Bread']"
1036,"['Bread', 'Butter', 'Coke', 'Eggs', 'Milk']"
1037,"['Juice', 'Butter', 'Coke', 'Diapers', 'Eggs']"
1038,"['Milk', 'Diapers', 'Eggs', 'Bread', 'Juice']"
1039,"['Milk', 'Juice', 'Butter', 'Eggs']"
1040,"['Diapers', 'Juice', 'Milk', 'Eggs']"
1041,"['Butter', 'Beer', 'Coke', 'Juice', 'Eggs']"
1042,"['Diapers', 'Eggs', 'Juice', 'Bread']"
1043,"['Milk', 'Butter', 'Beer', 'Diapers']"
1044,"['Bread', 'Butter']"
1045,"['Juice', 'Diapers', 'Coke', 'Butter', 'Beer']"
1046,"['Diapers', 'Milk', 'Bread']"
1047,"['Beer', 'Juice', 'Eggs']"
1048,"['Eggs', 'Coke', 'Butter', 'Milk']"
1049,"['Bread', 'Butter', 'Milk', 'Eggs']"
1050,"['Milk', 'Coke', 'Eggs']"
1051,"['Diapers', 'Milk', 'Bread', 'Coke']"
1052,"['Eggs', 'Coke', 'Beer', 'Diapers']"
1053,"['Beer', 'Juice']"
1054,"['Coke', 'Diapers', 'Juice', 'Beer']"
1055,"['Beer', 'Milk', 'Diapers', 'Butter']"
1056,"['Bread', 'Coke', 'Diapers']"
1057,"['Milk', 'Bread']"
1058,"['Butter', 'Juice', 'Coke']"
1059,"['Butter', 'Milk', 'Juice']"
1060,"['Beer', 'Diapers']"
1061,"['Milk', 'Diapers', 'Butter']"
1062,"['Coke', 'Bread', 'Milk']"
1063,"['Coke', 'Eggs']"
1064,"['Beer', 'Milk', 'Diapers', 'Juice']"
1065,"['Coke', 'Bread', 'Butter', 'Diapers']"
1066,"['Butter', 'Juice', 'Coke', 'Milk']"
1067,"['Diapers', 'Butter']"
1068,"['Juice', 'Milk', 'Butter', 'Bread', 'Coke']"
1069,"['Butter', 'Milk']"
1070,"['Bread', 'Diapers', 'Butter']"
1071,"['Diapers', 'Coke', 'Eggs', 'Milk', 'Butter']"
1072,"['Milk', 'Diapers', 'Butter', 'Bread', 'Eggs']"
1073,"['Beer', 'Coke', 'Diapers', 'Juice', 'Eggs']"
1074,"['Butter', 'Beer', 'Juice', 'Diapers']"
